Latitude,Longitude,Depth,Magnitude,Max. int,Region,day,date,pm1,pm10,pm25,temperature,estacion_ID,CO,NO2,O3,SO2,Humidity,Illuminance
28.5631,-17.8324,11.2,3.9,IV,Fuencaliente,329,2021-11-25,NA,NA,NA,17.433266891043438,10.283425386873663,271.90588742102307,35.58550330508534,38.76859624073742,13.485987416106882,88.5925949647012,54.78520183724934
28.561,-17.8311,12.8,3.4,IV,Fuencaliente,328,2021-11-24,NA,NA,NA,19.487326721718247,9.961847060749959,308.60449418065065,33.60982479406692,30.754406883166858,77.51885349669777,76.32983915564107,233.77796696013317
28.5584,-17.8341,37.4,3.8,NA,Fuencaliente,326,2021-11-22,NA,NA,NA,19.20031688838889,10.339304016789496,283.27638778726146,34.71755422874713,32.71056265684025,31.181892000927327,75.5659174937381,143.22205549410901
28.5535,-17.8379,35.7,4.3,III-IV,Fuencaliente,325,2021-11-21,NA,NA,NA,18.62278841575507,10.277227722772277,265.44928374343937,35.31721903538883,37.39465916887436,33.788783146938385,75.00852198469673,142.37139332531962
28.5627,-17.8362,10.3,4,IV,Fuencaliente,324,2021-11-20,NA,NA,NA,17.58827147704565,10.275959421954253,269.232616875701,36.97808015502441,42.50858738209398,10.542625051028807,67.13728443274476,431.71504326132646
28.5665,-17.8391,9,3.6,NA,Fuencaliente,323,2021-11-19,NA,NA,NA,17.5232196491602,10.225714566349081,283.42890785461645,35.92077790463609,41.01782870059915,3.35836568011492,68.22940094702878,495.7801268262646
28.5628,-17.8333,12.2,3.6,III,Fuencaliente,323,2021-11-19,NA,NA,NA,17.5232196491602,10.225714566349081,283.42890785461645,35.92077790463609,41.01782870059915,3.35836568011492,68.22940094702878,495.7801268262646
28.5493,-17.8523,34.4,4,IV,Fuencaliente,323,2021-11-19,NA,NA,NA,17.5232196491602,10.225714566349081,283.42890785461645,35.92077790463609,41.01782870059915,3.35836568011492,68.22940094702878,495.7801268262646
28.5587,-17.8351,13.1,3.6,III-IV,Fuencaliente,322,2021-11-18,NA,NA,NA,17.452582279657722,10.239595488136912,268.49520117115907,35.96661705455562,39.44733607502431,7.893496101132828,70.34998107818456,308.60278088991635
28.5582,-17.8341,33.1,3.7,NA,Fuencaliente,322,2021-11-18,NA,NA,NA,17.452582279657722,10.239595488136912,268.49520117115907,35.96661705455562,39.44733607502431,7.893496101132828,70.34998107818456,308.60278088991635
28.5532,-17.8379,34.1,4.4,III-IV,Fuencaliente,322,2021-11-18,NA,NA,NA,17.452582279657722,10.239595488136912,268.49520117115907,35.96661705455562,39.44733607502431,7.893496101132828,70.34998107818456,308.60278088991635
28.5545,-17.8382,10.9,3.8,IV-V,Fuencaliente,322,2021-11-18,NA,NA,NA,17.452582279657722,10.239595488136912,268.49520117115907,35.96661705455562,39.44733607502431,7.893496101132828,70.34998107818456,308.60278088991635
28.5604,-17.844,10.1,3.5,IV,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5573,-17.8389,12.5,3.4,III-IV,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5606,-17.8389,12.1,3.9,III-IV,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5597,-17.8479,11.3,3.3,IV,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5605,-17.8399,10.7,3.6,IV,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5655,-17.8358,11,3.7,III-IV,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5596,-17.843,10.5,3.6,III,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5584,-17.8489,10.7,3.6,III,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5599,-17.8389,10.9,3.7,III,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.562,-17.8329,11.4,3.6,III,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5498,-17.8677,33.6,3.5,IV,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5592,-17.8382,11.4,3.6,III,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5635,-17.8327,9.9,3.6,III,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5509,-17.8348,14.6,3.8,III,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5682,-17.8479,36.5,3.6,NA,Fuencaliente,321,2021-11-17,NA,NA,NA,17.874868787912785,10.252085264133457,276.20185735088535,34.07575526750402,38.811227670420955,84.39330378236184,69.42171392291108,150.6937620006341
28.5575,-17.8285,13,3.4,III-IV,Fuencaliente,320,2021-11-16,NA,NA,NA,17.167426705170428,10.270139222275564,296.1850702600576,35.97658413493039,35.80224048795007,42.30030804110898,76.85599791323571,95.23389339155065
28.5561,-17.8351,12.8,3.1,III-IV,Fuencaliente,320,2021-11-16,NA,NA,NA,17.167426705170428,10.270139222275564,296.1850702600576,35.97658413493039,35.80224048795007,42.30030804110898,76.85599791323571,95.23389339155065
28.5576,-17.8366,37.1,4.5,IV,Fuencaliente,318,2021-11-14,NA,NA,NA,18.006095196499682,10.265225646268439,258.15876258783896,34.711055912307096,38.450243372347984,17.02998722517891,69.28833500963925,180.41893178390538
28.5583,-17.8359,13.1,3.5,IV,Fuencaliente,315,2021-11-11,NA,NA,NA,18.638793684761627,10.236577913574859,269.4375853012852,34.81387646602648,38.14183805272807,11.824352758378193,75.75886987806877,226.10247195866918
28.5493,-17.8448,13.6,3.9,III,Fuencaliente,314,2021-11-10,NA,NA,NA,18.605637654906737,10.254955437588272,267.9696480511664,34.34271561235572,40.19600736247017,31.452553564072467,71.87755243054595,238.5754529505479
28.5579,-17.824,32.7,3.6,NA,Fuencaliente,314,2021-11-10,NA,NA,NA,18.605637654906737,10.254955437588272,267.9696480511664,34.34271561235572,40.19600736247017,31.452553564072467,71.87755243054595,238.5754529505479
28.5668,-17.8434,33.6,3.6,NA,Fuencaliente,314,2021-11-10,NA,NA,NA,18.605637654906737,10.254955437588272,267.9696480511664,34.34271561235572,40.19600736247017,31.452553564072467,71.87755243054595,238.5754529505479
28.5564,-17.839,10.4,3.8,III,Fuencaliente,314,2021-11-10,NA,NA,NA,18.605637654906737,10.254955437588272,267.9696480511664,34.34271561235572,40.19600736247017,31.452553564072467,71.87755243054595,238.5754529505479
28.5628,-17.836,13.5,3.7,III-IV,Fuencaliente,314,2021-11-10,NA,NA,NA,18.605637654906737,10.254955437588272,267.9696480511664,34.34271561235572,40.19600736247017,31.452553564072467,71.87755243054595,238.5754529505479
28.5628,-17.8368,12.8,3.6,III-IV,Fuencaliente,313,2021-11-09,NA,NA,NA,18.06613621693446,10.27450980392157,271.09582901563635,35.21430463461329,44.63780311636256,13.083840808356028,70.6704109427333,377.5072750744553
